id,question,option1,option2,option3,option4,ans,hit,
1,1 公尺等於多少公分？,10,100,1000,0.1,,B,記得喔！公尺比較大，1 公尺等於 100 公分。
2,若 12 × 34 = 408，則 1.2 × 3.4 =？,40.8,4.08,0.408,408,,B,數數看：1.2 有一位，3.4 有一位，總共要跳兩位喔！
3,5.6 × 10 等於多少？,56,5.6,0.56,560,,A,乘以 10，小數點要往右邊跳 1 位，數字會變大！
4,850 公分換算成公尺是多少？,0.85,8.5,85,0.085,,B,從公分變公尺，小數點要向左跳 2 位（除以 100）。
5, 20  ×  5 = 100，則 20  ×  0.5 =？,100,1000,10,1,,C,乘數縮小 10 倍，答案（積）也會跟著縮小 10 倍。
6,0.1  ×  0.1 的結果是多少？,1,0.1,0.01,0.001,,C,兩邊各有一位小數，所以答案要有兩位小數。
7,1 平方公尺等於多少平方公分？,100,1000,10000,100000,,C,100 公分  ×  100 公分 = 10000  平方公分喔！
8,3.45 有幾位小數？,1,2,3,0,,B,數數看小數點後面有幾個數字？（4 和 5）。
9,123 ÷ 100 的結果是？,12.3,1.23,0.123,123,,B,除以 100，小數點要向左移動 2 位。
10,長方形面積公式為何？, 長+寬 ,  長 × 2 ,  長×寬 ,  (長+寬) × 2,,C,面積是求面的大小，所以是長乘以寬。
