id,question,option1,option2,option3,option4,ans,hit,,,,,
1,任何非零整數最小的因數是？,0,1,自己,沒有,B,想一想，哪一個數字可以整除所有的整數？,,,,,
2,12 的最大因數是多少？,1,6,12,24,C,因數就像是盒子，最大的盒子剛好能裝下自己。,,,,,
3,7 的最小倍數是多少？,0,1,7,14,C,倍數是從「1 倍」開始算起的。,,,,,
4,下列何者「不是」 18 的因數？,2,4,6,9,B,拿 18 除除看，不能整除（有餘數）的那個就是調皮鬼。,,,,,
5,下列何者是 8 的倍數？,1,4,12,16,D,背背看 8 的乘法表，哪個數字有出現呢？,,,,,
6,20 的因數共有幾個？,4 個,5 個,6 個,8 個,C,"建議用「彩虹找法」，從 $(1, 20), (2, 10)...$ 一對一對找。",,,,,
7,所有的偶數都是誰的倍數？,2,3,4,5,A,"偶數的特徵就是個位數為 $0, 2, 4, 6, 8$。",,,,,
8,關於「1」的敘述何者正確？,是質數,是合數,是任何整數的因數,是最小的奇數倍數,C,1 只有一個因數，它在質數與合數的分類中非常邊緣。,,,,,
9,15 的前三個倍數總和是多少？,45,60,90,105,C,先列出 15 的 1 倍、2 倍、3 倍，再把它們加起來。,,,,,
10,若 $A$ 是 $B$ 的因數，則 $B$ 是 $A$ 的？,因數,倍數,質數,合數,B,這是一種對等關係，就像「我是你的老師，你就是我的學生」。,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
