id,question,option1,option2,option3,option4,ans,hit,,
1,9/4 換成帶分數是多少？,1 1/4,2 1/4,2 3/4,4 1/9,B,用除法算算看，9 ÷ 4 商是多少？餘數是多少？,,
2,下列哪一個分數比 1 大？,2/3,7/8,5/5,4/3,D,比 1 大的分數，就是「分子比分母大」的假分數。,,
3,要比較 2/3 和 3/4 的大小，最好將分母通分為多少？,3,4,7,12,D,找 3 和 4 的最小公倍數。,,
4,2 1/5 等於哪一個假分數？,10/5,11/5,21/5,3/5,B,整數 2 代表 2 個 5/5，加上原本的 1/5。,,
5,1/2 和 4/8 誰比較大？,1/2,4/8,一樣大,無法比較,C,把 1/2 擴分，上下都乘以 4 看看。,,
6,下列哪一個分數最小？,3 1/2,5/2,2 9/10,13/4,B,把大家通通換成帶分數，先比整數部分。,,
7,如果 A > 5/7，請問 A 可能是？,1/2,4/7,6/7,10/14,C,分母一樣都是 7，只要看分子有沒有比 5 大。,,
8,將 3 2/6 約分到最簡分數是？,3 1/3,3 1/2,3 2/3,3 1/6,A,分子 2 和分母 6 都可以被誰整除呢？,,
9,分母相同的分數，如何比大小？,分子大的比較大,分子小的比較大,帶分數比較小,假分數比較大,A,分母像是切蛋糕的塊數，切法一樣時，拿越多塊（分子）當然越多。,,
10,下列哪個算式正確？,3/5 < 2/5,1 1/2 =  3/2,8/4 < 2,1/3 > 1/2,B,1 1/2 就是一個完整加半個，3/2 也是三個半個。,,
