id,years,image_file,answer,dim_assess,topic,conception,advice_topic,video _file
1,112,,,,,,,
2,112,,,,,,,
3,112,,,,,,,
4,112,,,,,,,
5,112,,,,,,,
6,112,,,,,,,
7,112,,,,,,,
8,112,,,,,,,
9,112,,,,,,,
10,112,,,,,,,
11,112,,,,,,,
12,112,,,,,,,
13,112,,,,,,,
14,112,,,,,,,
15,112,,,,,,,
16,112,,,,,,,
17,112,,,,,,,
18,112,,,,,,,
19,112,,,,,,,
20,112,,,,,,,
21,112,,,,,,,
22,112,,,,,,,
23,112,,,,,,,
24,112,,,,,,,
25,112,,,,,,,
1,113,,,,,,,
2,113,,,,,,,
3,113,,,,,,,
4,113,,,,,,,
5,113,,,,,,,
6,113,,,,,,,
7,113,,,,,,,
8,113,,,,,,,
9,113,,,,,,,
10,113,,,,,,,
11,113,,,,,,,
12,113,,,,,,,
13,113,,,,,,,
14,113,,,,,,,
15,113,,,,,,,
16,113,,,,,,,
17,113,,,,,,,
18,113,,,,,,,
19,113,,,,,,,
20,113,,,,,,,
21,113,,,,,,,
22,113,,,,,,,
23,113,,,,,,,
24,113,,,,,,,
25,113,,,,,,,
1,114,114-mq01.jpg,c,概念理解,數與計算,公因數和公倍數,對於公因數與公倍數的基本概念有待加強，因此在辨認何者為公因數與公倍數的題目是容易出錯，對於更進一步計算公因、倍數更為困難。,114-01.mp4
2,114,114-mq02.jpg,b,程序執行,數與計算,對小數取概數,無法掌握解題歷程的中步驟，這可能是不理解對小樹概述的意思，也可能是知道意思，卻因為在運算時的監控能力不夠而答錯。建議在看一下課本中對如何對小數取概述的方法，然後練習幾道相關題目，應該可以獲得改善。,114-02.mp4
3,114,114-mq03.jpg,d,程序執行,關係,三步驟問題併式,學生對三步驟問題的理解仍不穩定，常在轉換語句與建立運算式時出現錯誤。這代表學生可能無法清楚辨識題目中的「三個連續關係」，或在處理過程中缺乏監控能力。建議重新複習課本中的三步驟應用題類型，練習將題目拆成三段語意並逐步寫出對應的算式，透過多題練習與步驟檢核可得到改善。,114-03.mp4
4,114,114-mq04.jpg,c,概念理解,關係,三步驟問題併式,此題顯示學生對應用題語意的理解不夠完整，特別是無法掌握三步驟問題中各步驟之間的量的關係，因此難以正確寫出三式併用的結構。建議加強語意分析能力，從題目找出「起始量→變化量→結果量」的順序，練習以圖示或流程圖協助理解，能提升併式解題的準確度。,114-04.mp4
5,114,114-mq05.jpg,d,概念理解,空間與形狀,空間中面與面的關係,學生在判斷立體圖形中面與面的相對位置、多面之間的關係時感到困難，可能無法在腦中建立立體空間概念。建議練習利用具體模型（如正方體、積木）觀察面與面之間的接觸、相鄰與相對位置，並搭配課本中的立體展開圖練習，有助於提升空間想像與判斷能力。,114-05.mp4
6,114,114-mq06.jpg,a,解題思考,關係,數量模式與推理,運用數學關係來進行解題思考的數學高層思考能力不足，建議要先理解數學運算上的關係以及題目的意思，而不是只靠背公式的方式來解題目。尤其是思考解題時要從那些基本概念與能力開始著手，解題時要確實的監控自己的運算過程和解題步驟是否正確,114-06.mp4
7,114,114-mq07.jpg,c,程序執行,數與計算,十進位的位值系統,錯誤顯示學生對十進位位值的進退位規則尚未完全掌握，尤其在進行較大數或多位數的運算時容易忽略位值的重要性。建議複習十進位系統的位值表，並多練習拆解數字（如用「幾個千、幾個百」方式）來幫助理解，搭配逐步演算可強化位值觀念的運用。,114-07.mp4
8,114,114-mq08.jpg,b,程序執行,數與計算,十進位的位值系統,學生在運算中出現「位移錯誤」的情形，可能是因為對每一位數所代表的量不足理解，導致進位或退位時處理不一致。建議先從基礎的位值練習（個、十、百、千）重新建立概念，再進行橫式與直式的計算練習，並在每一步都檢查是否正確對齊位數，可有效降低錯誤率。,114-08.mp4
9,114,114-mq09.jpg,b,程序執行,空間與形狀,三角形與四邊形的性質；三角形與四邊,學生對三角形與四邊形的基本性質（邊長、角度、對邊關係等）尚未熟悉，因此在判斷形狀分類或性質應用題時容易混淆。建議先以圖形分類表重新整理各類圖形的特徵，並利用摺紙、畫圖等方式觀察邊與角的關係，再搭配課本的例題反覆練習，可增加辨識與運用的準確性。,114-09.mp4
10,114,114-mq10.jpg,a,解題思考,空間與形狀,空間中面與面的關係；,學生難以從立體圖形推想面間的空間關係，顯示在「空間推理」方面較不熟練。建議從實體模型開始學習，觀察各面之間的接觸、相鄰、相對等關係，再練習由平面圖（如展開圖）回推立體形狀。逐步增強空間想像力，有助於提升解題時的推理能力。,114-10.mp4
11,114,114-mq11.jpg,b,概念理解,關係,以符號表示數學公式,學生在將語句轉換為符號表達時感到困難，顯示其對符號與運算關係的對應尚未建立。建議先練習簡單語句的符號化，如「比…多…」或「比…少…」的表示方式，再進一步處理需要兩步以上的語句。透過多例示與逐步轉換，可有效提升公式表達的正確度。,114-11.mp4
12,114,114-mq12.jpg,c,概念理解,關係,四則計算規律,學生對四則運算的順序與規律未能完全掌握，因此在題目中常出現錯誤推算或忽略先乘除後加減的狀況。建議重新複習四則運算的規則，並以生活化例子說明為何不同順序會導致結果差異，透過逐題練習建立穩定的運算程序感。,114-12.mp4
13,114,114-mq13.jpg,b,程序執行,關係,四則計算規律,學生在執行四則混合運算時，常因缺乏步驟監控而產生錯誤，特別是在括號運算與乘除運算的處理順序上。建議反覆練習「先圈出需要先算的部分」的習慣，並逐步檢查每一步是否符合規則，有助於提升程序執行的穩定度。,114-13.mp4
14,114,114-mq14.jpg,b,解題思考,數與計算,異分母分數,學生無法正確處理異分母分數的運算，可能是在找最簡公倍數或通分的過程中出現理解落差。建議加強異分母轉同分母的步驟練習，包括倍數表、LCM 概念與通分流程，並搭配圖示教學（如分數條）協助理解，有助於提升解題時的推理能力。,114-14.mp4
15,114,114-mq15.jpg,d,程序執行,空間與形狀,扇形,學生在扇形面積與相關量的計算上出現錯誤，顯示其對扇形的角度、圓心角與半徑關係尚未完全理解。建議重新複習扇形的量之間的公式與比例觀念，並配合具體例題逐步計算，有助於提升程序執行的熟練度。,114-15.mp4
16,114,114-mq16.jpg,d,概念理解,數與計算,公因數和公倍數,學生在辨識公因數與公倍數上仍不穩定，尤其在題目複合情境中容易混淆二者差異。建議重新整理因數與倍數的定義，並利用數線、倍數表或因數樹來協助視覺化理解，透過反覆分類練習可加強概念的精準度。,114-16.mp4
17,114,114-mq17.jpg,b,程序執行,空間與形狀,三角形與四邊形的面積,學生在套用面積公式時容易出錯，可能未能辨認哪個是底、哪個是高，或忽略單位一致性。建議透過畫圖找底與高的方式來理解面積來源，再進行例題練習並加上步驟檢查，可提升運算的正確性。,114-17.mp4
18,114,114-mq18.jpg,d,概念理解,數與計算,"分數的乘法,小數的乘法",學生對分數與小數乘法的概念尚未統整，常只記步驟但缺乏理解，因此容易在進位、約分或小數點位置判斷上出錯。建議加強概念層面的教學，例如「分數乘法為縮放」、「小數乘法與位值移動的關係」，再搭配例題逐步練習。,114-18.mp4
